Station_Name,Latitude,Longitude,Number of Bikes,Empty Slots,ll,name,category,latitude,longitude,distance,bike_location,rating,popularity,price,review_count
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Little Brother,Bar,30.26001,-97.738041,93.0,"30.26078,-97.73808",7.8,0.9524668644906034,2.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",double trouble BBQ,BBQ Joint,30.259971,-97.73853,94.0,"30.26078,-97.73808",,0.3143343224530168,2.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",East Ave Lounge,Beer Garden,30.259803,-97.737521,102.0,"30.26078,-97.73808",,0.731188921859545,1.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",The Drafting Room,Beer Bar,30.260039,-97.738519,104.0,"30.26078,-97.73808",8.2,0.9410959446092976,2.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Asador,BBQ Joint,30.259943,-97.738612,106.0,"30.26078,-97.73808",,,,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Parlor Room,Cocktail Bar,30.25981,-97.738624,114.0,"30.26078,-97.73808",7.8,0.9675252225519289,3.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Rainey Hookah Lounge,Hookah Bar,30.259803,-97.737521,121.0,"30.26078,-97.73808",,,,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Metcalf Barbecue,BBQ Joint,30.259662,-97.738133,124.0,"30.26078,-97.73808",,,,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Rainey Hookah Lounge & Bar,Hookah Bar,30.259728,-97.737739,125.0,"30.26078,-97.73808",7.0,0.8571394658753709,1.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Baltimore Ballers,Bakery,30.260418,-97.737977,126.0,"30.26078,-97.73808",,0.8237546983184966,1.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Geraldine's,Restaurant,30.260178,-97.73905,129.0,"30.26078,-97.73808",8.2,0.9638536102868448,3.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Café 605,Restaurant,30.260178,-97.73905,129.0,"30.26078,-97.73808",8.1,0.979948565776459,1.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Stagger Lee,Arts and Entertainment,30.25951,-97.738188,129.0,"30.26078,-97.73808",7.6,0.9458120672601384,2.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Augustine Cocktail Lounge,Cocktail Bar,30.259538,-97.738666,131.0,"30.26078,-97.73808",7.6,0.9559643916913948,3.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Metcalf BBQ,BBQ Joint,30.259602,-97.73815,131.0,"30.26078,-97.73808",,0.7474579624134521,2.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Augustine,Cocktail Bar,30.259649,-97.738718,139.0,"30.26078,-97.73808",,,,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Idle Hands,Cocktail Bar,30.259527,-97.738323,142.0,"30.26078,-97.73808",,0.970057368941642,2.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Garrison,American Restaurant,30.26207,-97.738411,149.0,"30.26078,-97.73808",6.6,0.9543659742828884,2.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Revue,Bar,30.26207,-97.738411,152.0,"30.26078,-97.73808",,0.9468486646884272,,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Three B's Tacos,Mexican Restaurant,30.259606,-97.738656,154.0,"30.26078,-97.73808",,0.8101918892185954,1.0,
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808",Good Things,Café,30.262095,-97.738338,185.0,"30.26078,-97.73808",6.5,0.9463659742828884,1.0,
South Congress/Elizabeth,30.24891,-97.75019,4,7,"30.24891,-97.75019",Guero's Taco Bar,Mexican Restaurant,30.248901,-97.750327,27.0,"30.24891,-97.75019",7.8,0.987782393669634,2.0,
South Congress/Elizabeth,30.24891,-97.75019,4,7,"30.24891,-97.75019",Home Slice Pizza,Pizzeria,30.249288,-97.749577,42.0,"30.24891,-97.75019",9.3,0.9974520276953512,2.0,
South Congress/Elizabeth,30.24891,-97.75019,4,7,"30.24891,-97.75019",More Home Slice,Pizzeria,30.249288,-97.749577,56.0,"30.24891,-97.75019",8.6,0.907948565776459,2.0,
South Congress/Elizabeth,30.24891,-97.75019,4,7,"30.24891,-97.75019",Hopdoddy Burger Bar,Bar,30.24961,-97.749881,86.0,"30.24891,-97.75019",9.3,0.9831058358061324,2.0,
South Congress/Elizabeth,30.24891,-97.75019,4,7,"30.24891,-97.75019",The Mighty Cone,Ice Cream Parlor,30.247924,-97.750548,114.0,"30.24891,-97.75019",,,,
South Congress/Elizabeth,30.24891,-97.75019,4,7,"30.24891,-97.75019",Perla's,Seafood Restaurant,30.249749,-97.749919,117.0,"30.24891,-97.75019",8.8,0.9809930761622156,3.0,
South Congress/Elizabeth,30.24891,-97.75019,4,7,"30.24891,-97.75019",Divercity Grill,Sandwich Restaurant,30.247899,-97.75062,119.0,"30.24891,-97.75019",,,,
South Congress/Elizabeth,30.24891,-97.75019,4,7,"30.24891,-97.75019",Burro Artisan Grilled Cheese,Sandwich Restaurant,30.247692,-97.7501,121.0,"30.24891,-97.75019",8.1,0.8750148367952523,1.0,
South Congress/Elizabeth,30.24891,-97.75019,4,7,"30.24891,-97.75019",Coat & Thai,Thai Restaurant,30.247788,-97.750569,129.0,"30.24891,-97.75019",,,,
South Congress/Elizabeth,30.24891,-97.75019,4,7,"30.24891,-97.75019",Otoko,Sushi Restaurant,30.247581,-97.750049,138.0,"30.24891,-97.75019",8.4,0.8760751730959446,2.0,
12th/San Jacinto @ State Capitol Visitors Garage,30.27336,-97.73805,8,5,"30.27336,-97.73805",Capitol Cafe,Restaurant,30.272255,-97.738346,126.0,"30.27336,-97.73805",,,,
12th/San Jacinto @ State Capitol Visitors Garage,30.27336,-97.73805,8,5,"30.27336,-97.73805",Capitol Visitors Center,History Museum,30.272652,-97.739251,145.0,"30.27336,-97.73805",9.0,0.964431256181998,,
5th/Bowie,30.2692,-97.7535,5,8,"30.2692,-97.7535",Austin's Habibi,Mediterranean Restaurant,30.269374,-97.753083,66.0,"30.2692,-97.7535",7.3,0.8613095944609298,1.0,
5th/Bowie,30.2692,-97.7535,5,8,"30.2692,-97.7535",Tiniest Bar In Texas,Night Club,30.269374,-97.753083,69.0,"30.2692,-97.7535",7.5,0.9732700296735906,1.0,
5th/Bowie,30.2692,-97.7535,5,8,"30.2692,-97.7535",Super Burrito on 5th,Fast Food Restaurant,30.269374,-97.753083,75.0,"30.2692,-97.7535",7.5,0.9462551928783384,1.0,
5th/Bowie,30.2692,-97.7535,5,8,"30.2692,-97.7535",5th Street Seafood,Seafood Restaurant,30.270422,-97.753404,125.0,"30.2692,-97.7535",,0.9335311572700296,3.0,
5th/Bowie,30.2692,-97.7535,5,8,"30.2692,-97.7535",Next Level Burger Austin,Burger Joint,30.270515,-97.75332,147.0,"30.2692,-97.7535",,,,
5th/Bowie,30.2692,-97.7535,5,8,"30.2692,-97.7535",Next Level Clucker Austin,Burger Joint,30.270515,-97.75332,160.0,"30.2692,-97.7535",,0.892375865479723,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Iron Cactus Mexican Restaurant and Margarita Bar,Mexican Restaurant,30.26728,-97.739534,7.0,"30.26735,-97.73933",7.3,0.9803679525222552,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",TacoWey,Fast Food Restaurant,30.266958,-97.739722,22.0,"30.26735,-97.73933",,0.9123877349159248,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Jackalope Night Club,Night Club,30.267227,-97.739128,23.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Jack's Pizza,Pizzeria,30.267232,-97.739029,35.0,"30.26735,-97.73933",,0.0130722057368941,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",The Jackalope,Dive Bar,30.267166,-97.73893,36.0,"30.26735,-97.73933",7.2,0.9873709198813057,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",The Dirty 6,Bar,30.267151,-97.740658,37.0,"30.26735,-97.73933",,0.8537131552917903,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Pour Choices,Arts and Entertainment,30.266844,-97.739118,39.0,"30.26735,-97.73933",7.5,0.9823857566765578,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Maggie Mae's Harley-Davidson Room,Dive Bar,30.266958,-97.739722,43.0,"30.26735,-97.73933",,0.6097329376854599,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Mama V's Quesadillaville,Mexican Restaurant,30.267477,-97.73971,44.0,"30.26735,-97.73933",,0.2173135509396637,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Funki Chicken,American Restaurant,30.267051,-97.739638,44.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Roppolo's Pizzeria,Pizzeria,30.267452,-97.739783,47.0,"30.26735,-97.73933",6.0,0.9438417408506428,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Shakespeare's Pub,Cocktail Bar,30.267452,-97.739783,50.0,"30.26735,-97.73933",6.5,0.9923323442136498,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",The Rooftop on 6th,Night Club,30.267123,-97.738868,51.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Mooseknuckle Pub,Bar,30.267123,-97.738868,51.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",The Blind Pig Pub,Cocktail Bar,30.267062,-97.739982,53.0,"30.26735,-97.73933",7.4,0.9899268051434224,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Wild Greg’s Saloon,Bar,30.267476,-97.739883,54.0,"30.26735,-97.73933",,0.9129099901088032,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Buck Wild,Bar,30.267487,-97.740054,56.0,"30.26735,-97.73933",5.4,0.9485103857566766,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Ale House,Bar,30.267402,-97.739929,57.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Terminal Six,Arts and Entertainment,30.267487,-97.740054,59.0,"30.26735,-97.73933",,0.1018951533135509,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Midnight Cowboy,Cocktail Bar,30.267147,-97.740107,60.0,"30.26735,-97.73933",8.5,0.9650959446092976,3.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Museum of the Weird,Museum,30.267148,-97.738795,65.0,"30.26735,-97.73933",6.0,0.9646607319485658,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Roppolo's Pizzeria,Pizzeria,30.266999,-97.738745,68.0,"30.26735,-97.73933",7.1,0.8782116716122651,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",The Library Bar,Bar,30.266844,-97.739118,70.0,"30.26735,-97.73933",7.2,0.9950464886251236,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",The Buffalo Room Austin,Bar,30.266701,-97.739348,72.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Moonlight,Beer Bar,30.26705,-97.740035,75.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Cheers Shot Bar,Night Club,30.267173,-97.738722,76.0,"30.26735,-97.73933",5.9,0.9622472799208704,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Las Perlas,Cocktail Bar,30.267742,-97.738565,78.0,"30.26735,-97.73933",7.7,0.9940415430267062,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Touche,Night Club,30.266741,-97.738858,78.0,"30.26735,-97.73933",6.1,0.9011038575667656,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Heros Gyros,Fast Food Restaurant,30.26776,-97.7387,81.0,"30.26735,-97.73933",6.6,0.9285697329376854,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Majestic Austin,Night Club,30.266741,-97.738858,81.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Seven Grand,Whisky Bar,30.267785,-97.738627,82.0,"30.26735,-97.73933",8.5,0.9671849653808112,3.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Vulcan Gas Company,Music Venue,30.267156,-97.738587,82.0,"30.26735,-97.73933",6.2,0.9570326409495548,3.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",The Nook Amphitheater,Music Venue,30.267097,-97.740252,84.0,"30.26735,-97.73933",6.7,0.877570722057369,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",San Jac Saloon,Music Venue,30.267462,-97.740127,90.0,"30.26735,-97.73933",8.6,0.9854559841740852,3.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Buckshot Sixth Street,Arts and Entertainment,30.267002,-97.738473,90.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Cafe Divine,Café,30.268342,-97.739438,95.0,"30.26735,-97.73933",,0.9146350148367952,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Gyro Express,Greek Restaurant,30.26707,-97.738462,95.0,"30.26735,-97.73933",,0.3704530168150346,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Nuno's Bar & Grill,Music Venue,30.26713,-97.73866,97.0,"30.26735,-97.73933",7.5,0.6421444114737883,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Parkside,American Restaurant,30.267139,-97.740309,99.0,"30.26735,-97.73933",8.2,0.9730405539070228,3.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Pete's Dueling Piano Bar,Bar,30.26668,-97.738661,100.0,"30.26735,-97.73933",8.2,0.9884075173095944,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Pizzeria Papparazzi,Pizzeria,30.267505,-97.740189,102.0,"30.26735,-97.73933",5.8,0.8848189910979228,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Zaza Mediterranean food,Mediterranean Restaurant,30.26673,-97.738515,104.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Darwin's Pub,Cocktail Bar,30.26733,-97.7407,114.0,"30.26735,-97.73933",6.7,0.960427299703264,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Roxy,Night Club,30.267745,-97.740428,114.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Latitude 30,Bar,30.267101,-97.740804,127.0,"30.26735,-97.73933",5.8,0.4179703264094955,2.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Stella San Jac,Restaurant,30.266486,-97.740348,128.0,"30.26735,-97.73933",7.0,0.9826152324431257,3.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",The British Music Embassy,Arts and Entertainment,30.267083,-97.740669,131.0,"30.26735,-97.73933",,,,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Coyote Ugly Saloon,Cocktail Bar,30.266584,-97.738192,133.0,"30.26735,-97.73933",5.3,0.9851157270029672,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Holy Grounds,Coffee Shop,30.268503,-97.739344,141.0,"30.26735,-97.73933",8.0,0.9076953511374876,1.0,
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933",Bbg's,Night Club,30.267848,-97.740688,141.0,"30.26735,-97.73933",,,,
Barton Springs/Bouldin @ Palmer Auditorium,30.25971,-97.75346,8,7,"30.25971,-97.75346",Pluckers Office,BBQ Joint,30.259121,-97.753157,88.0,"30.25971,-97.75346",,0.92497725024728,,
Barton Springs/Bouldin @ Palmer Auditorium,30.25971,-97.75346,8,7,"30.25971,-97.75346",El Mercado Restaurant,Mexican Restaurant,30.25976,-97.754853,133.0,"30.25971,-97.75346",,,,
Barton Springs/Bouldin @ Palmer Auditorium,30.25971,-97.75346,8,7,"30.25971,-97.75346",Terry Black's Barbecue,BBQ Joint,30.259771,-97.754879,144.0,"30.25971,-97.75346",8.9,0.9984015825914936,2.0,
Barton Springs/Bouldin @ Palmer Auditorium,30.25971,-97.75346,8,7,"30.25971,-97.75346",Playa Pizza & Pastelitos,Pizzeria,30.258835,-97.752304,147.0,"30.25971,-97.75346",,,,
East 11th/San Marcos,30.26968,-97.73074,2,7,"30.26968,-97.73074",Texas Music Museum,History Museum,30.269463,-97.730566,23.0,"30.26968,-97.73074",,0.8903897131552918,,
East 11th/San Marcos,30.26968,-97.73074,2,7,"30.26968,-97.73074",African American Cultural & Heritage Facility,History Museum,30.270042,-97.730752,44.0,"30.26968,-97.73074",,0.8561266073194856,,
East 11th/San Marcos,30.26968,-97.73074,2,7,"30.26968,-97.73074",Ice Ice Baby,Frozen Yogurt Shop,30.269949,-97.730836,45.0,"30.26968,-97.73074",,0.5902591493570722,1.0,
East 11th/San Marcos,30.26968,-97.73074,2,7,"30.26968,-97.73074",L'Oca D'Oro,Italian Restaurant,30.270114,-97.731293,71.0,"30.26968,-97.73074",,,,
East 11th/San Marcos,30.26968,-97.73074,2,7,"30.26968,-97.73074",Franklin Barbecue,BBQ Joint,30.270071,-97.731231,74.0,"30.26968,-97.73074",9.0,0.9904569732937686,2.0,
East 11th/San Marcos,30.26968,-97.73074,2,7,"30.26968,-97.73074",Legend Coffee Co.,Coffee Shop,30.270139,-97.73122,81.0,"30.26968,-97.73074",6.9,0.8434183976261128,1.0,
East 11th/San Marcos,30.26968,-97.73074,2,7,"30.26968,-97.73074",Old Thousand,Asian Restaurant,30.269603,-97.729785,90.0,"30.26968,-97.73074",8.3,0.9652067260138476,1.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Try Hard Coffee Roasters,Coffee Shop,30.268788,-97.7286,9.0,"30.26896,-97.72843",7.6,0.9746468842729972,1.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Uncle Nicky's,Italian Restaurant,30.268788,-97.7286,17.0,"30.26896,-97.72843",,0.932763600395648,2.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Wasota African Cuisine,African Restaurant,30.269196,-97.728537,18.0,"30.26896,-97.72843",,0.7209020771513354,2.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Sassy's Vegetarian Soul Food,Restaurant,30.269091,-97.728305,18.0,"30.26896,-97.72843",,,,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Aimee's Super Fantazmo,Mediterranean Restaurant,30.269171,-97.72861,19.0,"30.26896,-97.72843",,0.8390741839762611,2.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Bone-a-fide Vegan,Vegan and Vegetarian Restaurant,30.26913,-97.728384,19.0,"30.26896,-97.72843",,,,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Aimee's Super Fantazmo Food Club,Greek Restaurant,30.26914,-97.72843,20.0,"30.26896,-97.72843",,,,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Artessano,Colombian Restaurant,30.269103,-97.72862,24.0,"30.26896,-97.72843",,,,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Victory Grill,Rock Club,30.269146,-97.728683,26.0,"30.26896,-97.72843",6.3,0.9186073194856578,,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",The Rolling Rooster,American Restaurant,30.269244,-97.728558,33.0,"30.26896,-97.72843",,,,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Community Vegan,Vegan and Vegetarian Restaurant,30.26889,-97.727915,50.0,"30.26896,-97.72843",,,,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Scoot Inn,Bar,30.268556,-97.728153,52.0,"30.26896,-97.72843",,,,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Nickel City,Cocktail Bar,30.268624,-97.728143,55.0,"30.26896,-97.72843",8.9,0.9865084075173096,1.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Tony's Jamaican Food,Caribbean Restaurant,30.268799,-97.727632,57.0,"30.26896,-97.72843",8.2,0.922326409495549,1.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Delray Cafe,Burger Joint,30.268624,-97.728143,60.0,"30.26896,-97.72843",,0.5441819980217606,1.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Moe’s Tavern,Bar,30.268435,-97.727758,71.0,"30.26896,-97.72843",,0.3636083086053412,2.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Paperboy,American Restaurant,30.268435,-97.727758,112.0,"30.26896,-97.72843",9.0,0.973618199802176,1.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Old Thousand,Asian Restaurant,30.269603,-97.729785,145.0,"30.26896,-97.72843",8.3,0.9652067260138476,1.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",J. Leonardi's Barbeque,Restaurant,30.269014,-97.727944,512.0,"30.26896,-97.72843",,0.8561345202769535,1.0,
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843",Thai Kruefha,Thai Restaurant,30.269171,-97.72861,4313.0,"30.26896,-97.72843",,0.7764035608308605,1.0,
Barton Springs/Riverside,30.25866,-97.74895,4,3,"30.25866,-97.74895",Zax Pints & Plates,Bar,30.258956,-97.748213,59.0,"30.25866,-97.74895",7.2,0.8951691394658754,2.0,
Barton Springs/Riverside,30.25866,-97.74895,4,3,"30.25866,-97.74895",Zax Restaurant & Bar,Restaurant,30.258835,-97.748332,62.0,"30.25866,-97.74895",,,,
Barton Springs/Riverside,30.25866,-97.74895,4,3,"30.25866,-97.74895",Aussie's Volleybar & Grill,Sports Bar,30.258956,-97.748213,70.0,"30.25866,-97.74895",6.7,0.983034619188922,1.0,
23rd/San Jacinto @ DKR Stadium,30.2856,-97.7335,12,9,"30.2856,-97.7335",Hat Creek,Burger Joint,30.285082,-97.733591,58.0,"30.2856,-97.7335",,,,
23rd/San Jacinto @ DKR Stadium,30.2856,-97.7335,12,9,"30.2856,-97.7335",Landmarks Public Art Program,Museum,30.285705,-97.732527,94.0,"30.2856,-97.7335",,,,
23rd/San Jacinto @ DKR Stadium,30.2856,-97.7335,12,9,"30.2856,-97.7335",Landmarks,Museum,30.285829,-97.734786,125.0,"30.2856,-97.7335",,,,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Trifecta On 3rd,Lounge,30.267542,-97.749433,19.0,"30.26709,-97.74947",6.0,0.9567240356083088,2.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Meat & Bread,Sandwich Restaurant,30.267083,-97.749849,37.0,"30.26709,-97.74947",,0.9117546983184964,1.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",JuiceLand,Restaurant,30.266787,-97.749758,43.0,"30.26709,-97.74947",,,,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Poke Bowl,Poke Restaurant,30.267417,-97.749798,47.0,"30.26709,-97.74947",,0.9043639960435212,,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Polvo's DT,Mexican Restaurant,30.267292,-97.749907,47.0,"30.26709,-97.74947",,,,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Polvo's Downtown,Mexican Restaurant,30.267445,-97.749405,61.0,"30.26709,-97.74947",,0.8693333333333333,1.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Hestia,American Restaurant,30.266737,-97.749903,67.0,"30.26709,-97.74947",8.6,0.9287438180019782,4.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Intelligentsia Co,Coffee Shop,30.266651,-97.749779,68.0,"30.26709,-97.74947",7.7,0.9748209693372898,1.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Kalimotxo,Tapas Restaurant,30.266737,-97.749903,74.0,"30.26709,-97.74947",7.4,0.9025123639960436,3.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Juan Pelota Café,Coffee Shop,30.268,-97.749224,96.0,"30.26709,-97.74947",8.5,0.9534401582591494,1.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Polvo's Downtown Mexican Restaurant,Mexican Restaurant,30.266644,-97.749987,104.0,"30.26709,-97.74947",6.4,0.9516280909990108,1.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",The Mockingbird,Bar,30.266244,-97.749842,118.0,"30.26709,-97.74947",,0.9427814045499504,1.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Goldie’s,Cocktail Bar,30.266168,-97.750061,123.0,"30.26709,-97.74947",,0.9511928783382788,3.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Goldie's Sunken Bar,Cocktail Bar,30.2661,-97.750071,124.0,"30.26709,-97.74947",,,,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",The Codependent,Cocktail Bar,30.26772,-97.750786,127.0,"30.26709,-97.74947",8.2,0.9807161226508408,3.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",La Piscina,Mexican Restaurant,30.266097,-97.750159,128.0,"30.26709,-97.74947",7.6,0.9311177052423344,1.0,
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947",Flower Child,American Restaurant,30.265858,-97.749281,136.0,"30.26709,-97.74947",8.4,0.9690682492581604,3.0,
Rainey/Cummings,30.25579,-97.73982,1,14,"30.25579,-97.73982",Burgerim-Austin,Burger Joint,30.256684,-97.73911,120.0,"30.25579,-97.73982",,,,
South Congress/James,30.25103,-97.74926,7,2,"30.25103,-97.74926",Jo's Hot Coffee Good Food,Coffee Shop,30.251029,-97.749375,11.0,"30.25103,-97.74926",,,,
South Congress/James,30.25103,-97.74926,7,2,"30.25103,-97.74926",Lucky Robot Japanese Kitchen,Sushi Restaurant,30.250908,-97.74898,13.0,"30.25103,-97.74926",7.7,0.9533056379821958,2.0,
South Congress/James,30.25103,-97.74926,7,2,"30.25103,-97.74926",Jo's Coffee,Coffee Shop,30.251097,-97.749365,16.0,"30.25103,-97.74926",8.8,0.9883125618199802,1.0,
